term	category	surface_count	surface_per_million	lemma_count	lemma_per_million
mom	kinship	11283	984.11	9676	989.33
mommy	kinship	30361	2648.11	28797	2944.38
momma	kinship	1601	139.64	1510	154.39
mama	kinship	6481	565.28	5542	566.65
ma	kinship	2285	199.30	2399	245.29
mother	kinship	3906	340.68	3642	372.38
dad	kinship	5162	450.23	4085	417.68
daddy	kinship	17014	1483.98	16242	1660.68
dada	kinship	1158	101.00	1009	103.17
papa	kinship	1176	102.57	963	98.46
pa	kinship	408	35.59	579	59.20
father	kinship	1248	108.85	1003	102.55
parent	kinship	483	42.13	360	36.81
grandma	kinship	1908	166.42	652	66.66
grandpa	kinship	916	79.89	318	32.51
granny	kinship	159	13.87	150	15.34
gramma	kinship	176	15.35	165	16.87
nana	kinship	964	84.08	830	84.86
grandmom	kinship	6	0.52	1	0.10
grandmommy	kinship	7	0.61	7	0.72
grandmother	kinship	319	27.82	46	4.70
grandfather	kinship	93	8.11	19	1.94
granddad	kinship	11	0.96	2	0.20
granddaddy	kinship	29	2.53	9	0.92
gramps	kinship	4	0.35	5	0.51
grampa	kinship	149	13.00	149	15.23
grandpapa	kinship	3	0.26	3	0.31
grandmama	kinship	6	0.52	2	0.20
grandparent	kinship	29	2.53	0	0.00
aunt	kinship	652	56.87	418	42.74
auntie	kinship	327	28.52	212	21.68
aunty	kinship	25	2.18	22	2.25
uncle	kinship	899	78.41	612	62.57
cousin	kinship	556	48.49	494	50.51
niece	kinship	38	3.31	25	2.56
nephew	kinship	19	1.66	17	1.74
brother	kinship	2530	220.67	2068	211.45
sister	kinship	2921	254.77	1974	201.83
sibling	kinship	48	4.19	34	3.48
sissy	kinship	38	3.31	36	3.68
son	kinship	528	46.05	426	43.56
daughter	kinship	356	31.05	262	26.79
grandchild	kinship	2	0.17	0	0.00
grandson	kinship	19	1.66	0	0.00
granddaughter	kinship	15	1.31	0	0.00
stepmom	kinship	1	0.09	0	0.00
stepdad	kinship	2	0.17	1	0.10
stepmother	kinship	68	5.93	1	0.10
stepfather	kinship	2	0.17	0	0.00
stepsister	kinship	30	2.62	0	0.00
stepbrother	kinship	1	0.09	0	0.00
stepson	kinship	2	0.17	1	0.10
stepdaughter	kinship	2	0.17	0	0.00
stepchild	kinship	0	0.00	0	0.00
teacher	non-kin	2089	182.20	1408	143.96
doctor	non-kin	2255	196.68	1728	176.68
boss	non-kin	145	12.65	140	14.31
neighbor	non-kin	235	20.50	172	17.59
friend	non-kin	4696	409.59	3757	384.14
waiter	non-kin	21	1.83	18	1.84
nurse	non-kin	442	38.55	413	42.23
police	non-kin	712	62.10	369	37.73
baby	non-kin	28265	2465.30	25393	2596.34
kid	non-kin	4582	399.65	3794	387.92
the	benchmark	344493	30047.00	294635	30125.32
and	benchmark	194477	16962.46	161065	16468.29
to	benchmark	144198	12577.08	229321	23447.21
of	benchmark	72287	6304.94	50044	5116.81
in	benchmark	112708	9830.50	94306	9642.43
that	benchmark	244341	21311.65	212766	21754.52
