term	vocative_count	vocative_per_million	voc_chi_count	voc_chi_per_million	voc_adu_count	voc_adu_per_million	argument_count	argument_per_million	arg_bare_count	arg_bare_per_million	arg_det_count	arg_det_per_million
mom	2755	240.29	1930	168.34	825	71.96	8528	743.82	6154	536.76	2374	207.06
mommy	5655	493.23	4253	370.95	1402	122.28	24706	2154.88	17694	1543.29	7012	611.59
momma	314	27.39	236	20.58	78	6.80	1287	112.25	987	86.09	300	26.17
mama	2099	183.08	1301	113.47	798	69.60	4382	382.20	3062	267.07	1320	115.13
ma	704	61.40	504	43.96	200	17.44	1581	137.90	1416	123.50	165	14.39
mother	222	19.36	94	8.20	128	11.16	3684	321.32	1050	91.58	2634	229.74
dad	1114	97.16	627	54.69	487	42.48	4048	353.07	2562	223.46	1486	129.61
daddy	2773	241.86	1918	167.29	855	74.57	14241	1242.11	9224	804.53	5017	437.59
dada	499	43.52	326	28.43	173	15.09	659	57.48	508	44.31	151	13.17
papa	148	12.91	89	7.76	59	5.15	1028	89.66	667	58.18	361	31.49
pa	50	4.36	30	2.62	20	1.74	358	31.23	273	23.81	85	7.41
father	73	6.37	33	2.88	40	3.49	1175	102.48	343	29.92	832	72.57
parent	35	3.05	18	1.57	17	1.48	448	39.07	173	15.09	275	23.99
grandma	274	23.90	153	13.34	121	10.55	1634	142.52	875	76.32	759	66.20
grandpa	87	7.59	54	4.71	33	2.88	829	72.31	486	42.39	343	29.92
granny	36	3.14	13	1.13	23	2.01	123	10.73	62	5.41	61	5.32
gramma	17	1.48	10	0.87	7	0.61	159	13.87	72	6.28	87	7.59
nana	226	19.71	124	10.82	102	8.90	738	64.37	437	38.12	301	26.25
grandmom	2	0.17	1	0.09	1	0.09	4	0.35	1	0.09	3	0.26
grandmommy	0	0.00	0	0.00	0	0.00	7	0.61	4	0.35	3	0.26
grandmother	17	1.48	14	1.22	3	0.26	302	26.34	66	5.76	236	20.58
grandfather	13	1.13	7	0.61	6	0.52	80	6.98	33	2.88	47	4.10
granddad	2	0.17	1	0.09	1	0.09	9	0.78	4	0.35	5	0.44
granddaddy	3	0.26	0	0.00	3	0.26	26	2.27	12	1.05	14	1.22
gramps	2	0.17	0	0.00	2	0.17	2	0.17	1	0.09	1	0.09
grampa	35	3.05	20	1.74	15	1.31	114	9.94	73	6.37	41	3.58
grandpapa	0	0.00	0	0.00	0	0.00	3	0.26	2	0.17	1	0.09
grandmama	1	0.09	1	0.09	0	0.00	5	0.44	4	0.35	1	0.09
grandparent	2	0.17	1	0.09	1	0.09	27	2.35	6	0.52	21	1.83
aunt	23	2.01	11	0.96	12	1.05	629	54.86	305	26.60	324	28.26
auntie	14	1.22	9	0.78	5	0.44	313	27.30	148	12.91	165	14.39
aunty	1	0.09	0	0.00	1	0.09	24	2.09	15	1.31	9	0.78
uncle	50	4.36	25	2.18	25	2.18	849	74.05	396	34.54	453	39.51
cousin	41	3.58	24	2.09	17	1.48	515	44.92	158	13.78	357	31.14
niece	1	0.09	1	0.09	0	0.00	37	3.23	10	0.87	27	2.35
nephew	2	0.17	0	0.00	2	0.17	17	1.48	2	0.17	15	1.31
brother	162	14.13	99	8.63	63	5.49	2368	206.54	817	71.26	1551	135.28
sister	162	14.13	73	6.37	89	7.76	2759	240.64	1150	100.30	1609	140.34
sibling	1	0.09	0	0.00	1	0.09	47	4.10	34	2.97	13	1.13
sissy	4	0.35	0	0.00	4	0.35	34	2.97	21	1.83	13	1.13
son	67	5.84	6	0.52	61	5.32	461	40.21	141	12.30	320	27.91
daughter	25	2.18	8	0.70	17	1.48	331	28.87	75	6.54	256	22.33
grandchild	0	0.00	0	0.00	0	0.00	2	0.17	0	0.00	2	0.17
grandson	3	0.26	1	0.09	2	0.17	16	1.40	7	0.61	9	0.78
granddaughter	0	0.00	0	0.00	0	0.00	15	1.31	0	0.00	15	1.31
stepmom	0	0.00	0	0.00	0	0.00	1	0.09	0	0.00	1	0.09
stepdad	1	0.09	1	0.09	0	0.00	1	0.09	0	0.00	1	0.09
stepmother	4	0.35	1	0.09	3	0.26	64	5.58	10	0.87	54	4.71
stepfather	0	0.00	0	0.00	0	0.00	2	0.17	0	0.00	2	0.17
stepsister	2	0.17	1	0.09	1	0.09	28	2.44	7	0.61	21	1.83
stepbrother	0	0.00	0	0.00	0	0.00	1	0.09	0	0.00	1	0.09
stepson	0	0.00	0	0.00	0	0.00	2	0.17	1	0.09	1	0.09
stepdaughter	0	0.00	0	0.00	0	0.00	2	0.17	0	0.00	2	0.17
stepchild	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00
