heuristic	level	label	vocative_count	argument_count	vocative_percent
default	term	mom	2755	8528	24.42
default	term	mommy	5655	24706	18.63
default	term	momma	314	1287	19.61
default	term	mama	2099	4382	32.39
default	term	ma	704	1581	30.81
default	term	mother	222	3684	5.68
default	term	dad	1114	4048	21.58
default	term	daddy	2773	14241	16.30
default	term	dada	499	659	43.09
default	term	papa	148	1028	12.59
default	term	pa	50	358	12.25
default	term	father	73	1175	5.85
default	term	parent	35	448	7.25
default	term	grandma	274	1634	14.36
default	term	grandpa	87	829	9.50
default	term	granny	36	123	22.64
default	term	gramma	17	159	9.66
default	term	nana	226	738	23.44
default	term	grandmom	2	4	33.33
default	term	grandmommy	0	7	0.00
default	term	grandmother	17	302	5.33
default	term	grandfather	13	80	13.98
default	term	granddad	2	9	18.18
default	term	granddaddy	3	26	10.34
default	term	gramps	2	2	50.00
default	term	grampa	35	114	23.49
default	term	grandpapa	0	3	0.00
default	term	grandmama	1	5	16.67
default	term	grandparent	2	27	6.90
default	term	aunt	23	629	3.53
default	term	auntie	14	313	4.28
default	term	aunty	1	24	4.00
default	term	uncle	50	849	5.56
default	term	cousin	41	515	7.37
default	term	niece	1	37	2.63
default	term	nephew	2	17	10.53
default	term	brother	162	2368	6.40
default	term	sister	162	2759	5.55
default	term	sibling	1	47	2.08
default	term	sissy	4	34	10.53
default	term	son	67	461	12.69
default	term	daughter	25	331	7.02
default	term	grandchild	0	2	0.00
default	term	grandson	3	16	15.79
default	term	granddaughter	0	15	0.00
default	term	stepmom	0	1	0.00
default	term	stepdad	1	1	50.00
default	term	stepmother	4	64	5.88
default	term	stepfather	0	2	0.00
default	term	stepsister	2	28	6.67
default	term	stepbrother	0	1	0.00
default	term	stepson	0	2	0.00
default	term	stepdaughter	0	2	0.00
default	term	stepchild	0	0	0.00
default	category	parent	16406	65677	19.99
default	category	grandparent	717	4062	15.00
default	category	extended	598	8966	6.25
default	category	all	17721	78705	18.38
strict	term	mom	727	10556	6.44
strict	term	mommy	1746	28615	5.75
strict	term	momma	100	1501	6.25
strict	term	mama	306	6175	4.72
strict	term	ma	222	2063	9.72
strict	term	mother	121	3785	3.10
strict	term	dad	361	4801	6.99
strict	term	daddy	936	16078	5.50
strict	term	dada	97	1061	8.38
strict	term	papa	23	1153	1.96
strict	term	pa	11	397	2.70
strict	term	father	31	1217	2.48
strict	term	parent	25	458	5.18
strict	term	grandma	120	1788	6.29
strict	term	grandpa	42	874	4.59
strict	term	granny	12	147	7.55
strict	term	gramma	6	170	3.41
strict	term	nana	20	944	2.07
strict	term	grandmom	0	6	0.00
strict	term	grandmommy	0	7	0.00
strict	term	grandmother	3	316	0.94
strict	term	grandfather	1	92	1.08
strict	term	granddad	1	10	9.09
strict	term	granddaddy	1	28	3.45
strict	term	gramps	1	3	25.00
strict	term	grampa	4	145	2.68
strict	term	grandpapa	0	3	0.00
strict	term	grandmama	1	5	16.67
strict	term	grandparent	1	28	3.45
strict	term	aunt	17	635	2.61
strict	term	auntie	0	327	0.00
strict	term	aunty	0	25	0.00
strict	term	uncle	24	875	2.67
strict	term	cousin	22	534	3.96
strict	term	niece	1	37	2.63
strict	term	nephew	2	17	10.53
strict	term	brother	102	2428	4.03
strict	term	sister	98	2823	3.36
strict	term	sibling	1	47	2.08
strict	term	sissy	2	36	5.26
strict	term	son	51	477	9.66
strict	term	daughter	20	336	5.62
strict	term	grandchild	0	2	0.00
strict	term	grandson	1	18	5.26
strict	term	granddaughter	0	15	0.00
strict	term	stepmom	0	1	0.00
strict	term	stepdad	1	1	50.00
strict	term	stepmother	4	64	5.88
strict	term	stepfather	0	2	0.00
strict	term	stepsister	2	28	6.67
strict	term	stepbrother	0	1	0.00
strict	term	stepson	0	2	0.00
strict	term	stepdaughter	0	2	0.00
strict	term	stepchild	0	0	0.00
strict	category	parent	4681	77402	5.70
strict	category	grandparent	213	4566	4.46
strict	category	extended	373	9191	3.90
strict	category	all	5267	91159	5.46
loose	term	mom	5615	5668	49.77
loose	term	mommy	13872	16489	45.69
loose	term	momma	705	896	44.03
loose	term	mama	3564	2917	54.99
loose	term	ma	1377	908	60.26
loose	term	mother	461	3445	11.80
loose	term	dad	2128	3034	41.22
loose	term	daddy	6482	10532	38.10
loose	term	dada	772	386	66.67
loose	term	papa	409	767	34.78
loose	term	pa	132	276	32.35
loose	term	father	137	1111	10.98
loose	term	parent	60	423	12.42
loose	term	grandma	499	1409	26.15
loose	term	grandpa	204	712	22.27
loose	term	granny	54	105	33.96
loose	term	gramma	60	116	34.09
loose	term	nana	389	575	40.35
loose	term	grandmom	2	4	33.33
loose	term	grandmommy	2	5	28.57
loose	term	grandmother	23	296	7.21
loose	term	grandfather	23	70	24.73
loose	term	granddad	2	9	18.18
loose	term	granddaddy	7	22	24.14
loose	term	gramps	3	1	75.00
loose	term	grampa	52	97	34.90
loose	term	grandpapa	0	3	0.00
loose	term	grandmama	1	5	16.67
loose	term	grandparent	2	27	6.90
loose	term	aunt	152	500	23.31
loose	term	auntie	104	223	31.80
loose	term	aunty	4	21	16.00
loose	term	uncle	293	606	32.59
loose	term	cousin	64	492	11.51
loose	term	niece	3	35	7.89
loose	term	nephew	2	17	10.53
loose	term	brother	239	2291	9.45
loose	term	sister	228	2693	7.81
loose	term	sibling	2	46	4.17
loose	term	sissy	12	26	31.58
loose	term	son	77	451	14.58
loose	term	daughter	32	324	8.99
loose	term	grandchild	0	2	0.00
loose	term	grandson	3	16	15.79
loose	term	granddaughter	0	15	0.00
loose	term	stepmom	0	1	0.00
loose	term	stepdad	1	1	50.00
loose	term	stepmother	5	63	7.35
loose	term	stepfather	0	2	0.00
loose	term	stepsister	2	28	6.67
loose	term	stepbrother	0	1	0.00
loose	term	stepson	0	2	0.00
loose	term	stepdaughter	0	2	0.00
loose	term	stepchild	0	0	0.00
loose	category	parent	35654	46429	43.44
loose	category	grandparent	1323	3456	27.68
loose	category	extended	1283	8281	13.41
loose	category	all	38260	58166	39.68
